"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
"767425","3BR Stylish New Austin Modern","1660838","Tatiana",,"78756","30.3293265992324","-97.733084309278","Entire home/apt","114","3","21","2015-10-02","0.64","1","358"
"4151271","CLASSIC CASITA  CLOSE TO DOWNTOWN","21536850","Judi",,"78756","30.3064821474718","-97.7456348807049","Entire home/apt","143","2","4","2015-10-17","0.32","2","236"
"5458052","Central Austin Home for SXSW","28195166","Whitney",,"78756","30.3337870225878","-97.7425548433037","Entire home/apt","750","1","0",,,"1","229"
"5457288","The Skylight Modern","28304366","Annemarie",,"78756","30.3333328266336","-97.7367752108877","Entire home/apt","115","2","23","2015-10-24","2.85","1","359"
"7980816","Central Austin Garage Apt; Sleeps 4","27637240","Leslie",,"78756","30.3111615309297","-97.7459680969406","Entire home/apt","90","2","7","2015-10-26","3.39","1","354"
"1068507","Beautiful Home in Cental Austin","2690825","Maytal",,"78756","30.311308629609","-97.7401812581828","Entire home/apt","180","1","2","2013-08-12","0.07","1","162"
"3742420","The Woodrow - 3br/1ba -On Bus Line!","1488733","Brooke",,"78756","30.3274559382617","-97.7329448241044","Entire home/apt","180","2","15","2015-10-10","1.17","17","328"
"1956451","Fab Modern 2/2 Central Austin","358081","Michelle",,"78756","30.3130481469909","-97.7403621830173","Entire home/apt","499","4","1","2015-03-16","0.13","1","365"
"4219174","Comfortable 1 bedroom apartment","10453628","Amanda",,"78756","30.3096898954724","-97.7413007259373","Entire home/apt","400","1","0",,,"1","365"
"1242559","Harmony House - Central Austin","582827","Troy",,"78756","30.3208472348414","-97.7490934395101","Entire home/apt","150","2","5","2015-03-21","0.18","2","363"
"4291414","Spacious Bungalow in Central Austin","22234571","Cathleen",,"78756","30.3138189829927","-97.7395985017582","Entire home/apt","200","2","5","2015-10-12","0.63","2","189"
"6288166","Comfortable House near UT Campus","32689270","James",,"78756","30.3194780703895","-97.7413020964535","Entire home/apt","100","1","2","2015-08-28","0.32","1","0"
"1011620","Cute Ranch - Austin Allendale Area","5564649","Duane",,"78756","30.3295887204906","-97.7440415126177","Entire home/apt","225","2","1","2013-05-29","0.03","1","343"
"1535250","Cute apartment in central Austin!!","8187341","Natalya",,"78756","30.3272499250521","-97.7382363378955","Entire home/apt","85","2","36","2015-10-22","1.37","1","296"
"5992071","Central Austin Craftsman Sleeps 4","11709743","Dustin",,"78756","30.3108244169029","-97.7479855998705","Entire home/apt","175","2","0",,,"1","318"
"8186030","Cozy 1 bedroom in central location","7988240","Alex",,"78756","30.3079632300152","-97.7467368790339","Entire home/apt","95","1","1","2015-10-10","1","1","350"
"5565604","3 BR Rosedale Home @ Central Austin","22299444",,,"78756","30.3105775542007","-97.7444597445233","Entire home/apt","106","30","5","2015-05-12","0.67","2","346"
"683017","Central Austin Modern Elegance","3434513","Marty",,"78756","30.3131945699856","-97.742006924485","Entire home/apt","800","3","0",,,"1","365"
"8186176","250sq-ft New Studio - Cent. Austin","27344698","Lizan",,"78756","30.3108194268622","-97.7421923621733","Entire home/apt","135","2","2","2015-10-13","1.43","1","349"
"2250253","SXSW Cancel- Central ATX  Cottage","627048","Lisa",,"78756","30.3226634084861","-97.7327602300887","Entire home/apt","399","4","0",,,"1","365"
"971370","Vibrant room in Central Austin","5284197","Karen",,"78756","30.3193234405217","-97.7458502540727","Private room","55","2","8","2015-09-18","0.39","1","310"
"5459498","Two Bed One Bath Central Austin","28319094","Jessica",,"78756","30.325209166895","-97.7386036427033","Entire home/apt","250","1","0",,,"1","0"
"2474218","SXSW Space w/Access to 3 BusStops","11817260","Sharon",,"78756","30.3239658433023","-97.735818492556","Shared room","75","1","0",,,"1","365"
"4309531","Central Austin/Rosedale Garage Apt!","22369347","Sarah",,"78756","30.3117605856986","-97.7446996746778","Entire home/apt","185","2","13","2015-11-01","1.01","1","341"
"2722858","Charming 3/2 in Central Austin","13933587","LaShawn",,"78756","30.3211412686124","-97.7430496067729","Entire home/apt","199","1","5","2015-10-27","0.44","1","243"
"1850056","Mid-Town Contemporary Home","7695107","Dawn",,"78756","30.3117461243294","-97.7399099651315","Entire home/apt","350","5","0",,,"1","314"
"8301191","spacious two story townhome","43768510","Dorothy",,"78756","30.3260851157454","-97.7323970876027","Entire home/apt","85","1","0",,,"1","33"
"6463905","The Parker!","33666377","Caleb",,"78756","30.3191977009483","-97.7306925723353","Entire home/apt","97","1","1","2015-06-13","0.2","3","146"
"5576522","Super Sweet Spot - Walk Everywhere!","28913211","Jessica",,"78756","30.3279454518959","-97.738314778721","Entire home/apt","61","2","7","2015-10-05","0.95","1","219"
"627784","Charming Home in Central Austin","2194671","Louie",,"78756","30.316232900503","-97.7469070262305","Entire home/apt","120","14","5","2015-06-28","0.25","2","26"
"528160","*****Home to Rent for SXSW*****","2595087","Sinclair",,"78756","30.316097785314","-97.7436796078045","Entire home/apt","700","2","0",,,"1","365"
"362460","SXSW  Bungalow Available 2/1","1831617","Chris",,"78756","30.317253412801","-97.744026033089","Entire home/apt","625","4","0",,,"1","365"
